id,formula_cal_id,val_pos,value,created,status
1,1,2,10.0,2023-08-25 14:59:40,1
2,2,2,11.0,2023-08-25 14:59:49,1
3,3,2,10.0,2023-08-25 14:59:59,1
4,4,2,9.0,2023-08-25 15:00:09,1
5,5,2,7.0,2023-08-25 15:00:19,1
6,6,2,11.0,2023-08-25 15:00:29,1
7,7,2,14.0,2023-08-25 15:00:39,1
8,8,2,13.0,2023-08-25 15:00:49,1
9,9,2,11.0,2023-08-25 15:01:00,1
10,10,2,8.0,2023-08-25 15:01:09,1
11,11,2,11.0,2023-08-25 15:01:20,1
12,12,2,9.0,2023-08-25 15:01:29,1
13,13,2,10.0,2023-08-25 15:01:39,1
14,14,2,10.0,2023-08-25 15:01:49,1
15,15,2,9.0,2023-08-25 15:02:00,1
