id,req_type,reciever_DT_ID,API_ID,value,created,status
1,GET,None,2,4.0,2023-08-25 14:18:14,
2,GET,None,2,4.0,2023-08-25 14:18:15,
3,GET,None,2,4.0,2023-08-25 14:18:15,
4,GET,None,2,5.0,2023-08-25 14:18:15,
5,GET,None,2,4.0,2023-08-25 14:18:16,
6,POST,2,3,4.0,2023-08-25 14:18:21,
7,POST,2,3,4.0,2023-08-25 14:18:22,
8,GET,None,2,4.0,2023-08-25 14:18:26,
9,GET,None,2,4.0,2023-08-25 14:18:26,
10,GET,None,2,4.0,2023-08-25 14:18:27,
11,GET,None,2,4.0,2023-08-25 14:18:27,
12,GET,None,2,4.0,2023-08-25 14:18:27,
13,GET,None,2,4.0,2023-08-25 14:18:28,
14,GET,None,2,5.0,2023-08-25 14:18:28,
15,GET,None,2,4.0,2023-08-25 14:18:29,
16,GET,None,2,5.0,2023-08-25 14:18:29,
17,GET,None,2,4.0,2023-08-25 14:18:29,
18,GET,None,2,5.0,2023-08-25 14:18:29,
19,GET,None,2,4.0,2023-08-25 14:18:29,
20,GET,None,2,4.0,2023-08-25 14:18:29,
21,POST,2,3,4.0,2023-08-25 14:18:29,
22,POST,2,3,4.0,2023-08-25 14:18:29,
23,GET,None,2,4.0,2023-08-25 14:18:30,
24,GET,None,2,5.0,2023-08-25 14:18:30,
25,GET,None,2,4.0,2023-08-25 14:18:31,
26,GET,None,2,4.0,2023-08-25 14:18:31,
27,GET,None,2,5.0,2023-08-25 14:18:32,
28,GET,None,2,5.0,2023-08-25 14:18:32,
29,GET,None,2,5.0,2023-08-25 14:18:32,
30,GET,None,2,4.0,2023-08-25 14:18:32,
31,GET,None,2,5.0,2023-08-25 14:18:32,
32,GET,None,2,4.0,2023-08-25 14:18:32,
33,GET,None,2,5.0,2023-08-25 14:18:33,
34,GET,None,2,5.0,2023-08-25 14:18:33,
35,GET,None,2,4.0,2023-08-25 14:18:33,
36,GET,None,2,4.0,2023-08-25 14:18:33,
37,GET,None,2,6.0,2023-08-25 14:18:33,
38,GET,None,2,4.0,2023-08-25 14:18:34,
39,POST,2,3,4.0,2023-08-25 14:18:34,
40,GET,None,2,4.0,2023-08-25 14:18:35,
41,POST,2,3,4.0,2023-08-25 14:18:36,
42,GET,None,2,4.0,2023-08-25 14:18:37,
43,GET,None,2,4.0,2023-08-25 14:18:38,
44,GET,None,2,4.0,2023-08-25 14:18:38,
45,GET,None,2,4.0,2023-08-25 14:18:38,
46,GET,None,2,4.0,2023-08-25 14:18:38,
47,GET,None,2,4.0,2023-08-25 14:18:38,
48,POST,2,3,4.0,2023-08-25 14:18:39,
49,POST,2,3,4.0,2023-08-25 14:18:40,
50,GET,None,2,4.0,2023-08-25 14:18:47,
51,POST,2,3,4.0,2023-08-25 14:18:47,
52,POST,2,3,4.0,2023-08-25 14:18:47,
53,GET,None,2,5.0,2023-08-25 14:18:51,
54,POST,2,3,4.0,2023-08-25 14:18:54,
55,POST,2,3,4.0,2023-08-25 14:18:56,
56,POST,2,3,4.0,2023-08-25 14:18:59,
57,POST,2,3,4.0,2023-08-25 14:19:01,
58,POST,2,3,4.0,2023-08-25 14:19:06,
59,POST,2,3,4.0,2023-08-25 14:19:06,
60,POST,2,3,7.0,2023-08-25 14:19:11,
61,POST,2,3,4.0,2023-08-25 14:19:12,
62,POST,2,3,4.0,2023-08-25 14:19:18,
63,POST,2,3,5.0,2023-08-25 14:19:19,
64,POST,2,3,4.0,2023-08-25 14:19:23,
65,POST,2,3,4.0,2023-08-25 14:19:23,
66,POST,2,3,4.0,2023-08-25 14:19:28,
67,POST,2,3,6.0,2023-08-25 14:19:29,
68,POST,2,3,4.0,2023-08-25 14:19:35,
69,POST,2,3,4.0,2023-08-25 14:19:35,
70,POST,2,3,6.0,2023-08-25 14:19:41,
71,POST,2,3,5.0,2023-08-25 14:19:42,
72,POST,2,3,4.0,2023-08-25 14:19:48,
73,POST,2,3,4.0,2023-08-25 14:19:48,
74,POST,2,3,4.0,2023-08-25 14:20:01,
75,POST,2,3,4.0,2023-08-25 14:20:01,
76,POST,2,3,5.0,2023-08-25 14:20:13,
77,POST,2,3,5.0,2023-08-25 14:20:14,
78,POST,2,3,4.0,2023-08-25 14:20:27,
79,POST,2,3,4.0,2023-08-25 14:20:29,
