id,req_type,DT_ID,API_ID,value,used,created,status
1,POST,-111111111,-111111111,-111111111.0,0,2023-08-25 14:59:07,1
2,POST,1,3,12.0,0,2023-08-25 14:59:07,1
3,POST,-111111111,-111111111,-111111111.0,0,2023-08-25 14:59:08,1
4,POST,1,3,11.0,0,2023-08-25 14:59:10,1
5,POST,2,7,9.0,1,2023-08-25 14:59:36,1
6,GET,2,6,11.0,1,2023-08-25 14:59:40,1
7,POST,2,7,9.0,1,2023-08-25 14:59:44,1
8,GET,2,6,11.0,1,2023-08-25 14:59:49,1
9,POST,2,7,11.0,1,2023-08-25 14:59:53,1
10,GET,2,6,9.0,1,2023-08-25 14:59:59,1
11,POST,2,7,10.0,1,2023-08-25 15:00:04,1
12,GET,2,6,9.0,1,2023-08-25 15:00:09,1
13,POST,2,7,10.0,1,2023-08-25 15:00:12,1
14,GET,2,6,11.0,1,2023-08-25 15:00:19,1
15,POST,2,7,9.0,1,2023-08-25 15:00:23,1
16,GET,2,6,13.0,1,2023-08-25 15:00:29,1
17,POST,2,7,10.0,1,2023-08-25 15:00:30,1
18,POST,-111111111,-111111111,-111111111.0,0,2023-08-25 15:00:38,1
19,POST,2,7,9.0,1,2023-08-25 15:00:38,1
20,POST,1,3,10.0,0,2023-08-25 15:00:39,1
21,GET,2,6,10.0,1,2023-08-25 15:00:39,1
22,GET,2,6,9.0,1,2023-08-25 15:00:49,1
23,POST,2,7,10.0,1,2023-08-25 15:00:50,1
24,POST,2,7,9.0,1,2023-08-25 15:00:56,1
25,GET,2,6,9.0,1,2023-08-25 15:01:00,1
26,POST,2,7,9.0,1,2023-08-25 15:01:05,1
27,GET,2,6,11.0,1,2023-08-25 15:01:09,1
28,POST,2,7,9.0,1,2023-08-25 15:01:16,1
29,GET,2,6,9.0,1,2023-08-25 15:01:20,1
30,POST,2,7,9.0,1,2023-08-25 15:01:24,1
31,GET,2,6,9.0,1,2023-08-25 15:01:29,1
32,POST,2,7,10.0,1,2023-08-25 15:01:35,1
33,GET,2,6,9.0,1,2023-08-25 15:01:39,1
34,POST,2,7,9.0,1,2023-08-25 15:01:42,1
35,GET,2,6,9.0,1,2023-08-25 15:01:49,1
36,POST,2,7,11.0,0,2023-08-25 15:01:52,1
37,GET,2,6,9.0,1,2023-08-25 15:02:00,1
