id,formula_cal_id,source,val_pos,value,created
1,1,i,2,5.0,2023-08-08 12:57:55
2,1,i,6,6.0,2023-08-08 12:57:55
3,1,e,4,8.0,2023-08-08 12:57:55
4,2,i,2,5.0,2023-08-08 12:58:04
5,2,i,6,8.0,2023-08-08 12:58:04
6,2,e,4,7.0,2023-08-08 12:58:04
7,3,i,2,9.0,2023-08-08 12:58:16
8,3,i,6,10.0,2023-08-08 12:58:16
9,3,e,4,7.0,2023-08-08 12:58:16
10,4,i,2,6.0,2023-08-08 12:58:24
11,4,i,6,6.0,2023-08-08 12:58:24
12,4,e,4,14.0,2023-08-08 12:58:24
13,5,i,2,7.0,2023-08-08 12:58:36
14,5,i,6,12.0,2023-08-08 12:58:36
15,5,e,4,7.0,2023-08-08 12:58:36
16,6,i,2,4.0,2023-08-08 12:58:55
17,6,i,6,10.0,2023-08-08 12:58:55
18,6,e,4,11.0,2023-08-08 12:58:55
19,7,i,2,3.0,2023-08-08 12:59:04
20,7,i,6,18.0,2023-08-08 12:59:04
21,7,e,4,10.0,2023-08-08 12:59:04
22,8,i,2,10.0,2023-08-08 12:59:14
23,8,i,6,9.0,2023-08-08 12:59:14
24,8,e,4,8.0,2023-08-08 12:59:14
25,9,i,2,4.0,2023-08-08 12:59:24
26,9,i,6,7.0,2023-08-08 12:59:24
27,9,e,4,5.0,2023-08-08 12:59:24
28,10,i,2,4.0,2023-08-08 12:59:34
29,10,i,6,5.0,2023-08-08 12:59:34
30,10,e,4,6.0,2023-08-08 12:59:34
31,11,i,2,5.0,2023-08-08 12:59:46
32,11,i,6,4.0,2023-08-08 12:59:46
33,11,e,4,9.0,2023-08-08 12:59:46
34,12,i,2,5.0,2023-08-08 13:00:04
35,12,i,6,7.0,2023-08-08 13:00:04
36,12,e,4,6.0,2023-08-08 13:00:04
37,13,i,2,13.0,2023-08-08 13:00:16
38,13,i,6,17.0,2023-08-08 13:00:16
39,13,e,4,5.0,2023-08-08 13:00:16
40,14,i,2,10.0,2023-08-08 13:00:34
41,14,i,6,4.0,2023-08-08 13:00:34
42,14,e,4,6.0,2023-08-08 13:00:34
43,15,i,2,10.0,2023-08-08 13:00:46
44,15,i,6,11.0,2023-08-08 13:00:46
45,15,e,4,13.0,2023-08-08 13:00:46
