id,formula_cal_id,val_pos,value,created
1,3,2,9.0,2023-08-16 22:57:08
2,4,2,7.0,2023-08-16 22:57:17
3,5,2,10.0,2023-08-16 22:57:26
4,6,2,11.0,2023-08-16 22:57:35
5,7,2,8.0,2023-08-16 22:57:44
6,8,2,7.0,2023-08-16 22:57:53
7,9,2,11.0,2023-08-16 22:58:02
8,10,2,7.0,2023-08-16 22:58:11
9,11,2,8.0,2023-08-16 22:58:20
10,12,2,8.0,2023-08-16 22:58:29
11,13,2,10.0,2023-08-16 22:58:38
12,14,2,9.0,2023-08-16 22:58:47
13,15,2,12.0,2023-08-16 22:58:56
14,16,2,10.0,2023-08-16 22:59:05
15,17,2,9.0,2023-08-16 22:59:14
