id,req_type,reciever_DT_ID,API_ID,value,created
1,POST,1,7,9.0,2023-08-08 12:57:57
2,POST,1,7,12.0,2023-08-08 12:58:00
3,POST,1,7,3.0,2023-08-08 12:58:07
4,POST,1,7,5.0,2023-08-08 12:58:09
5,POST,1,7,11.0,2023-08-08 12:58:18
6,POST,1,7,16.0,2023-08-08 12:58:20
7,POST,1,7,11.0,2023-08-08 12:58:28
8,POST,1,7,14.0,2023-08-08 12:58:30
9,POST,1,7,8.0,2023-08-08 12:58:40
10,POST,1,7,4.0,2023-08-08 12:58:44
11,POST,1,7,13.0,2023-08-08 12:58:58
12,POST,1,7,10.0,2023-08-08 12:59:00
13,POST,1,7,8.0,2023-08-08 12:59:07
14,POST,1,7,3.0,2023-08-08 12:59:11
15,POST,1,7,14.0,2023-08-08 12:59:17
16,POST,1,7,18.0,2023-08-08 12:59:21
17,POST,1,7,3.0,2023-08-08 12:59:26
18,POST,1,7,5.0,2023-08-08 12:59:30
19,POST,1,7,15.0,2023-08-08 12:59:36
20,POST,1,7,5.0,2023-08-08 12:59:39
21,POST,1,7,13.0,2023-08-08 12:59:48
22,POST,1,7,9.0,2023-08-08 12:59:52
23,POST,1,7,4.0,2023-08-08 13:00:06
24,POST,1,7,9.0,2023-08-08 13:00:10
25,POST,1,7,9.0,2023-08-08 13:00:20
26,POST,1,7,6.0,2023-08-08 13:00:23
27,POST,1,7,6.0,2023-08-08 13:00:38
28,POST,1,7,3.0,2023-08-08 13:00:40
29,POST,1,7,6.0,2023-08-08 13:00:48
30,POST,1,7,11.0,2023-08-08 13:00:50
