id,req_type,DT_ID,API_ID,value,used,created
1,GET,1,2,12.0,1,2023-08-18 00:57:34
2,GET,1,2,11.0,1,2023-08-18 00:57:44
3,GET,1,2,10.0,1,2023-08-18 00:57:55
4,GET,1,2,14.0,1,2023-08-18 00:58:05
5,GET,1,2,14.0,1,2023-08-18 00:58:15
6,GET,1,2,7.0,1,2023-08-18 00:58:25
7,GET,1,2,11.0,1,2023-08-18 00:58:34
8,GET,1,2,7.0,1,2023-08-18 00:58:45
9,GET,1,2,9.0,1,2023-08-18 00:58:55
10,GET,1,2,7.0,1,2023-08-18 00:59:04
11,GET,1,2,10.0,1,2023-08-18 00:59:16
12,GET,1,2,12.0,1,2023-08-18 00:59:25
13,GET,1,2,7.0,1,2023-08-18 00:59:35
14,GET,1,2,11.0,1,2023-08-18 00:59:45
15,GET,1,2,8.0,1,2023-08-18 00:59:56
